id,position,name,score,ratings,category,price_range,lat,lng,address,city,state,zip_code
34763,180,Katii Thai Food ,,,"Thai, Asian, Noodles, Exclusive to Eats",,29.45053,-98.48653,2710 North Saint Marys Street, San Antonio, TX,78212
34764,179,Kimura,,,"Ramen, Japanese, Comfort Food",,29.42845896,-98.49153746,152 E pecan st, San Antonio, TX,78205
34768,174,Little Tokyo,,,"Asian, Asian Fusion, Korean, Family Meals",$,29.423952,-98.484883,849 E Commerce St, San Antonio, TX,78205
34769,172,Sumo Japanese Steakhouse,,,"Japanese, Seafood, Steak",$$,29.5184532,-98.5554211,8342 Ih 10 W, San Antonio, TX,78229
34770,173,Sip Sip Cafe,,,"Asian, Japanese, Noodles",$$,29.5787,-98.44374,2844 Thousand Oaks Dr, San Antonio, TX,78232
34771,171,Karate Noodles,,,"Japanese, Asian, Sushi",,29.44186,-98.51055,427 Lombrano Street, San Antonio, TX,78207
34772,170,Hew By Akhanay Coffee Roasters,,,"Coffee and Tea, Comfort Food, Thai, Asian, Asian Fusion, Noodles, Street Food, Desserts, Desserts, Everyday Essentials, Convenience, Grocery, Snacks, Home &amp; Personal Care, Noodles",$,29.44025,-98.5031,1430 North Flores Street, San Antonio, TX,78212
34773,167,Gogi Street (Korean Fusion) (12820 Jones Maltsberger Rd),,,"Asian, Asian Fusion, Korean",$,29.55803,-98.46207,12820 Jones Maltsberger Rd, San Antonio, TX,78247
34774,166,Spice Grill &amp; Bar Indian Restaurant,,,"Indian, Vegetarian, Asian, Healthy",$,29.4281796,-98.4872048,220 Broadway St, San Antonio, TX,78205
34775,164,Habachi Buffet,,,"Chinese, Asian, Seafood",$,29.3999857,-98.3909068,2203 SE Loop 410, San Antonio, TX,78220
34776,160,Jeepney Street Eats,,,"Asian, Filipino, Noodles, Asian Fusion",,29.43532,-98.48133,1009 Avenue B, San Antonio, TX,78215
34777,159,"Curry Home (427 Lombrano St,)",,,"Indian, Asian, Vegetarian",$$,29.44191,-98.51055,427 Lombrano St, San Antonio, TX,78207
34778,149,Curry Boys BBQ,4.7,115,"Asian Fusion, BBQ, South East Asian",,29.44822,-98.48761,2334 North Saint Marys Street, San Antonio, TX,78212
34779,155,J Y Ramen,4.4,90,"Asian, Asian Fusion, Korean",$,29.51691,-98.59686,5500 Babcock Road, San Antonio, TX,78240
34780,146,Hot Joy,4.6,50,Asian,$$,29.4135907,-98.4908765,1014 S Alamo St, San Antonio, TX,78210
34781,145,LumpiasRollin,,,"South East Asian, Chicken, Filipino",,29.50748,-98.58863,2534 Babcock Road, San Antonio, TX,78229
34782,133,Sideliners Grill (Henderson Pass),,,"Chinese, Asian, Asian Fusion",$$,29.585243,-98.451546,15630 Henderson Pass, San Antonio, TX,78232
34783,123,Tao's Thai Hot,,,"Thai, Chinese, Asian",$,29.51493,-98.56998,8110 Fredericksburg Road, San Antonio, TX,78229
34784,117,"Bayside Biryani (220 Broadway,)",,,"Indian, Pakistani, Indian Curry, Chicken, Halal",$,29.42816,-98.48725,220 Broadway, San Antonio, TX,78205
34785,109,Momo House - Nepali Style Dumplings,4.7,34,"Asian, Asian Fusion, Korean",$,29.57152,-98.57371,4447 DeZavala Rd, San Antonio, TX,78249
